title,price,category,url
"Power Crunch Protein Energy Bar, Strawberry Creme, 1.4 oz, 12-count",14.49,fuel,https://www.costco.com/productid.1717225.html
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Tropical Punch",24.99,hydration,https://www.costco.com/productid.1721497.html
"PBfit Organic Peanut Butter Powder, 30 oz",16.39,recovery,https://www.costco.com/productid.1726362.html
"Luxury Halal Gourmet Chocolate Covered Dates, 17.6 oz. per pack, 2-pack",64.99,fuel,https://www.costco.com/productid.1728250.html
"Sun Bum Original, SPF 50, 5 oz, 2-pack",19.49,body,https://www.costco.com/productid.1780519.html
"G2G 3-pack Peanut Butter &amp; Jelly Protein Bars, 24-count",49.99,fuel,https://www.costco.com/productid.1785970.html
Dave &amp; Busters - Two $50 eGift Cards,79.99,fuel,https://www.costco.com/productid.1786172.html
"Citizen Eco Drive Disney Mickey Mouse Gold Tone Stainless Steel Quartz Women's Watch, 40mm",199.99,fuel,https://www.costco.com/productid.1791783.html
"Head &amp; Shoulders 2-in-1 Dandruff Shampoo and Conditioner Advanced Scalp Care with Aloe Vera, Coconut Water &amp; Vitamins, 40 fl oz",16.99,hydration,https://www.costco.com/productid.1811598.html
"Bulova Two Tone Stainless Steel Quartz Women's Watch, 28mm",219.99,fuel,https://www.costco.com/productid.1839752.html
"Optimum Nutrition Essential Amino Energy + Electrolytes, Sun Kissed Citrus, 1.5 lbs",37.99,hydration,https://www.costco.com/productid.1865115.html
"CeraVe AM Facial Moisturizing Lotion 30 SPF, 3 fl oz, 2-pack",21.99,body,https://www.costco.com/productid.1869768.html
"Olay Complete+ Moisturizer with SPF 40 Sensitive, 6 fl oz, 2-pack",32.99,body,https://www.costco.com/productid.1871694.html
"Vacation Classic Sunscreen Lotion, SPF 50, 6 fl oz Duo",21.99,body,https://www.costco.com/productid.1877320.html
"Levels Grass Fed Whey Protein, Double Chocolate, 5.64 lbs",76.99,recovery,https://www.costco.com/productid.1880493.html
JUNGSAEMMOOL Essential Nuder Cushion Bundle,42.99,body,https://www.costco.com/productid.1883232.html
"Orgain Collagen + Creatine, Unflavored, 1.95 lbs",26.99,recovery,https://www.costco.com/productid.1884588.html
Thinkbaby Sunscreen Lotion + Sunscreen Stick Set,29.99,body,https://www.costco.com/productid.1908209.html
"Round Lab Birch Juice Moisturizing UVLock SPF 45 Broad Spectrum, 2.03 fl oz, 2-pack",26.99,body,https://www.costco.com/productid.1913103.html
"Levels Grass Fed Whey Protein, Vanilla Bean, 5.64 lbs",76.99,recovery,https://www.costco.com/productid.1923967.html
"Orgain, Micronized Creatine Monohydrate, Unflavored, 1.48lbs",16.99,recovery,https://www.costco.com/productid.1927215.html
"Power Crunch Protein Energy Bar, Peanut Butter Fudge, 1.4 oz, 12-count",17.49,fuel,https://www.costco.com/productid.1930815.html
"Liquid I.V. Hydration Multiplier, 30 Individual Serving Stick Packs in Resealable Pouch, Variety Pack",24.99,hydration,https://www.costco.com/productid.1932071.html
Alex MD PhD Daily Defense Mineral Anti-Aging Sunscreen SPF 50+ 2pk,79.99,body,https://www.costco.com/productid.1932253.html
"Bosch Benchmark Series Bar Handle Smart Load Dishwasher, 39 dBA TimeLight, Stainless Steel with PrecisionWash PowerControl",1799.99,fuel,https://www.costco.com/productid.1933145.html
"Bai Antioxidant Beverage, Coconut Variety Pack, 18 fl oz, 15-count",18.99,hydration,https://www.costco.com/productid.1941128.html
"Biore UV Aqua Rich Weightless Moisturizer SPF 50, 1.7 fl oz, 3-pack",34.99,body,https://www.costco.com/productid.1947454.html
